GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),SEX (CODE),SEX (DISPLAY),SEX (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
SA_0000001822,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) with 95%CI",http://apps.who.int/gho/data/node.wrapper.imr?x-id=465,PUBLISHED,Published,,2016,2016,,AFR,Africa,,GNQ,Equatorial Guinea,,BTSX,Both sexes,,11.3 [11-11.6],11.3,11,11.6,,,
SA_0000001822,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) with 95%CI",http://apps.who.int/gho/data/node.wrapper.imr?x-id=465,PUBLISHED,Published,,2010,2010,,AFR,Africa,,GNQ,Equatorial Guinea,,FMLE,Female,,4.4 [4.3-4.5],4.4,4.3,4.5,,,
SA_0000001822,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) with 95%CI",http://apps.who.int/gho/data/node.wrapper.imr?x-id=465,PUBLISHED,Published,,2010,2010,,AFR,Africa,,COM,Comoros,,MLE,Male,,0.4 [0.4-0.5],0.4,0.4,0.5,,,
SA_0000001822,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) with 95%CI",http://apps.who.int/gho/data/node.wrapper.imr?x-id=465,PUBLISHED,Published,,2010,2010,,AFR,Africa,,COM,Comoros,,BTSX,Both sexes,,0.2 [0.2-0.3],0.2,0.2,0.3,,,
SA_0000001822,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) with 95%CI",http://apps.who.int/gho/data/node.wrapper.imr?x-id=465,PUBLISHED,Published,,2016,2016,,AFR,Africa,,CAF,Central African Republic,,MLE,Male,,5.7 [5.3-6],5.7,5.3,6,,,
SA_0000001822,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) with 95%CI",http://apps.who.int/gho/data/node.wrapper.imr?x-id=465,PUBLISHED,Published,,2016,2016,,AFR,Africa,,CAF,Central African Republic,,BTSX,Both sexes,,3.3 [3.1-3.5],3.3,3.1,3.5,,,
SA_0000001822,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) with 95%CI",http://apps.who.int/gho/data/node.wrapper.imr?x-id=465,PUBLISHED,Published,,2016,2016,,AFR,Africa,,BFA,Burkina Faso,,FMLE,Female,,2.4 [2.3-2.6],2.4,2.3,2.6,,,
SA_0000001822,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) with 95%CI",http://apps.who.int/gho/data/node.wrapper.imr?x-id=465,PUBLISHED,Published,,2010,2010,,AFR,Africa,,BFA,Burkina Faso,,MLE,Male,,12.2 [11.6-12.8],12.2,11.6,12.8,,,
SA_0000001822,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) with 95%CI",http://apps.who.int/gho/data/node.wrapper.imr?x-id=465,PUBLISHED,Published,,2010,2010,,AFR,Africa,,BWA,Botswana,,FMLE,Female,,2.5 [2.4-2.7],2.5,2.4,2.7,,,
SA_0000001822,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) with 95%CI",http://apps.who.int/gho/data/node.wrapper.imr?x-id=465,PUBLISHED,Published,,2016,2016,,AFR,Africa,,BEN,Benin,,MLE,Male,,5.3 [5-5.6],5.3,5,5.6,,,
SA_0000001822,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) with 95%CI",http://apps.who.int/gho/data/node.wrapper.imr?x-id=465,PUBLISHED,Published,,2016,2016,,AFR,Africa,,SWZ,Eswatini,,MLE,Male,,17.3 [16.5-18],17.3,16.5,18,,,
SA_0000001822,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) with 95%CI",http://apps.who.int/gho/data/node.wrapper.imr?x-id=465,PUBLISHED,Published,,2010,2010,,AFR,Africa,,TGO,Togo,,FMLE,Female,,0.7 [0.7-0.8],0.7,0.7,0.8,,,
SA_0000001822,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) with 95%CI",http://apps.who.int/gho/data/node.wrapper.imr?x-id=465,PUBLISHED,Published,,2010,2010,,AFR,Africa,,UGA,Uganda,,MLE,Male,,21.9 [21.2-22.6],21.9,21.2,22.6,,,
SA_0000001822,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) with 95%CI",http://apps.who.int/gho/data/node.wrapper.imr?x-id=465,PUBLISHED,Published,,2016,2016,,AMR,Americas,,LCA,Saint Lucia,,BTSX,Both sexes,,9.9 [9.5-10.2],9.9,9.5,10.2,,,
SA_0000001822,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) with 95%CI",http://apps.who.int/gho/data/node.wrapper.imr?x-id=465,PUBLISHED,Published,,2016,2016,,AMR,Americas,,VCT,Saint Vincent and the Grenadines,,FMLE,Female,,2.7 [2.6-2.8],2.7,2.6,2.8,,,
SA_0000001822,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) with 95%CI",http://apps.who.int/gho/data/node.wrapper.imr?x-id=465,PUBLISHED,Published,,2010,2010,,AMR,Americas,,SUR,Suriname,,BTSX,Both sexes,,6.3 [6.1-6.5],6.3,6.1,6.5,,,
SA_0000001822,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) with 95%CI",http://apps.who.int/gho/data/node.wrapper.imr?x-id=465,PUBLISHED,Published,,2016,2016,,AFR,Africa,,UGA,Uganda,,FMLE,Female,,3 [2.9-3.1],3,2.9,3.1,,,
SA_0000001822,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) with 95%CI",http://apps.who.int/gho/data/node.wrapper.imr?x-id=465,PUBLISHED,Published,,2016,2016,,AMR,Americas,,ATG,Antigua and Barbuda,,BTSX,Both sexes,,7 [6.7-7.3],7,6.7,7.3,,,
SA_0000001822,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) with 95%CI",http://apps.who.int/gho/data/node.wrapper.imr?x-id=465,PUBLISHED,Published,,2016,2016,,AMR,Americas,,ATG,Antigua and Barbuda,,MLE,Male,,12.2 [11.7-12.6],12.2,11.7,12.6,,,
SA_0000001822,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) with 95%CI",http://apps.who.int/gho/data/node.wrapper.imr?x-id=465,PUBLISHED,Published,,2010,2010,,AMR,Americas,,BHS,Bahamas,,BTSX,Both sexes,,4.2 [4-4.4],4.2,4,4.4,,,
SA_0000001822,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) with 95%CI",http://apps.who.int/gho/data/node.wrapper.imr?x-id=465,PUBLISHED,Published,,2010,2010,,AMR,Americas,,BHS,Bahamas,,MLE,Male,,7.1 [6.8-7.5],7.1,6.8,7.5,,,
SA_0000001822,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) with 95%CI",http://apps.who.int/gho/data/node.wrapper.imr?x-id=465,PUBLISHED,Published,,2010,2010,,AMR,Americas,,BRA,Brazil,,FMLE,Female,,3 [2.9-3.1],3,2.9,3.1,,,
SA_0000001822,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) with 95%CI",http://apps.who.int/gho/data/node.wrapper.imr?x-id=465,PUBLISHED,Published,,2016,2016,,AMR,Americas,,BRA,Brazil,,BTSX,Both sexes,,7.8 [7.5-8],7.8,7.5,8,,,
SA_0000001822,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) with 95%CI",http://apps.who.int/gho/data/node.wrapper.imr?x-id=465,PUBLISHED,Published,,2010,2010,,AMR,Americas,,CAN,Canada,,MLE,Male,,16.5 [15.9-17.1],16.5,15.9,17.1,,,
SA_0000001822,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) with 95%CI",http://apps.who.int/gho/data/node.wrapper.imr?x-id=465,PUBLISHED,Published,,2016,2016,,AMR,Americas,,CAN,Canada,,FMLE,Female,,3.4 [3.3-3.5],3.4,3.3,3.5,,,
SA_0000001822,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) with 95%CI",http://apps.who.int/gho/data/node.wrapper.imr?x-id=465,PUBLISHED,Published,,2016,2016,,AMR,Americas,,CUB,Cuba,,BTSX,Both sexes,,6.1 [5.8-6.3],6.1,5.8,6.3,,,
SA_0000001822,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) with 95%CI",http://apps.who.int/gho/data/node.wrapper.imr?x-id=465,PUBLISHED,Published,,2016,2016,,AMR,Americas,,CUB,Cuba,,MLE,Male,,10.2 [9.8-10.6],10.2,9.8,10.6,,,
SA_0000001822,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) with 95%CI",http://apps.who.int/gho/data/node.wrapper.imr?x-id=465,PUBLISHED,Published,,2010,2010,,AMR,Americas,,DOM,Dominican Republic,,BTSX,Both sexes,,6.7 [6.5-6.9],6.7,6.5,6.9,,,
SA_0000001822,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) with 95%CI",http://apps.who.int/gho/data/node.wrapper.imr?x-id=465,PUBLISHED,Published,,2010,2010,,AMR,Americas,,DOM,Dominican Republic,,MLE,Male,,11.2 [10.9-11.5],11.2,10.9,11.5,,,
SA_0000001822,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) with 95%CI",http://apps.who.int/gho/data/node.wrapper.imr?x-id=465,PUBLISHED,Published,,2010,2010,,AMR,Americas,,GTM,Guatemala,,FMLE,Female,,1.1 [1-1.1],1.1,1,1.1,,,
SA_0000001822,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) with 95%CI",http://apps.who.int/gho/data/node.wrapper.imr?x-id=465,PUBLISHED,Published,,2016,2016,,AMR,Americas,,GTM,Guatemala,,BTSX,Both sexes,,2.5 [2.3-2.6],2.5,2.3,2.6,,,
SA_0000001822,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) with 95%CI",http://apps.who.int/gho/data/node.wrapper.imr?x-id=465,PUBLISHED,Published,,2016,2016,,AMR,Americas,,GUY,Guyana,,FMLE,Female,,1.9 [1.9-2],1.9,1.9,2,,,
SA_0000001822,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) with 95%CI",http://apps.who.int/gho/data/node.wrapper.imr?x-id=465,PUBLISHED,Published,,2010,2010,,AMR,Americas,,HTI,Haiti,,BTSX,Both sexes,,6.4 [6.2-6.5],6.4,6.2,6.5,,,
SA_0000001822,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) with 95%CI",http://apps.who.int/gho/data/node.wrapper.imr?x-id=465,PUBLISHED,Published,,2016,2016,,AMR,Americas,,MEX,Mexico,,MLE,Male,,11.1 [10.7-11.6],11.1,10.7,11.6,,,
SA_0000001822,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) with 95%CI",http://apps.who.int/gho/data/node.wrapper.imr?x-id=465,PUBLISHED,Published,,2010,2010,,AMR,Americas,,NIC,Nicaragua,,FMLE,Female,,1.5 [1.4-1.6],1.5,1.4,1.6,,,
SA_0000001822,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) with 95%CI",http://apps.who.int/gho/data/node.wrapper.imr?x-id=465,PUBLISHED,Published,,2010,2010,,AMR,Americas,,PAN,Panama,,BTSX,Both sexes,,7.7 [7.5-7.9],7.7,7.5,7.9,,,
SA_0000001822,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) with 95%CI",http://apps.who.int/gho/data/node.wrapper.imr?x-id=465,PUBLISHED,Published,,2010,2010,,AMR,Americas,,PAN,Panama,,MLE,Male,,12.8 [12.5-13.2],12.8,12.5,13.2,,,
SA_0000001822,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) with 95%CI",http://apps.who.int/gho/data/node.wrapper.imr?x-id=465,PUBLISHED,Published,,2010,2010,,AMR,Americas,,LCA,Saint Lucia,,FMLE,Female,,3.4 [3.4-3.5],3.4,3.4,3.5,,,
SA_0000001822,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) with 95%CI",http://apps.who.int/gho/data/node.wrapper.imr?x-id=465,PUBLISHED,Published,,2016,2016,,AMR,Americas,,URY,Uruguay,,MLE,Male,,17.8 [17.2-18.4],17.8,17.2,18.4,,,
SA_0000001822,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) with 95%CI",http://apps.who.int/gho/data/node.wrapper.imr?x-id=465,PUBLISHED,Published,,2010,2010,,AMR,Americas,,VEN,Venezuela (Bolivarian Republic of),,FMLE,Female,,3 [2.9-3.1],3,2.9,3.1,,,
SA_0000001822,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) with 95%CI",http://apps.who.int/gho/data/node.wrapper.imr?x-id=465,PUBLISHED,Published,,2010,2010,,EMR,Eastern Mediterranean,,AFG,Afghanistan,,MLE,Male,,0.4 [0.4-0.5],0.4,0.4,0.5,,,
SA_0000001822,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) with 95%CI",http://apps.who.int/gho/data/node.wrapper.imr?x-id=465,PUBLISHED,Published,,2016,2016,,EMR,Eastern Mediterranean,,AFG,Afghanistan,,FMLE,Female,,0 [0-0],0,0,0,,,
SA_0000001822,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) with 95%CI",http://apps.who.int/gho/data/node.wrapper.imr?x-id=465,PUBLISHED,Published,,2016,2016,,EMR,Eastern Mediterranean,,IRN,Iran (Islamic Republic of),,BTSX,Both sexes,,1 [0.9-1.1],1,0.9,1.1,,,
SA_0000001822,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) with 95%CI",http://apps.who.int/gho/data/node.wrapper.imr?x-id=465,PUBLISHED,Published,,2016,2016,,EMR,Eastern Mediterranean,,IRN,Iran (Islamic Republic of),,MLE,Male,,1.9 [1.7-2.1],1.9,1.7,2.1,,,
SA_0000001822,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) with 95%CI",http://apps.who.int/gho/data/node.wrapper.imr?x-id=465,PUBLISHED,Published,,2010,2010,,EMR,Eastern Mediterranean,,JOR,Jordan,,BTSX,Both sexes,,0.7 [0.6-0.7],0.7,0.6,0.7,,,
SA_0000001822,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) with 95%CI",http://apps.who.int/gho/data/node.wrapper.imr?x-id=465,PUBLISHED,Published,,2010,2010,,EMR,Eastern Mediterranean,,JOR,Jordan,,MLE,Male,,1.2 [1.1-1.2],1.2,1.1,1.2,,,
SA_0000001822,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) with 95%CI",http://apps.who.int/gho/data/node.wrapper.imr?x-id=465,PUBLISHED,Published,,2016,2016,,EUR,Europe,,CZE,Czechia,,BTSX,Both sexes,,14.4 [14-14.8],14.4,14,14.8,,,
SA_0000001822,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) with 95%CI",http://apps.who.int/gho/data/node.wrapper.imr?x-id=465,PUBLISHED,Published,,2016,2016,,EUR,Europe,,DNK,Denmark,,FMLE,Female,,4.5 [4.3-4.6],4.5,4.3,4.6,,,
SA_0000001822,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) with 95%CI",http://apps.who.int/gho/data/node.wrapper.imr?x-id=465,PUBLISHED,Published,,2010,2010,,EUR,Europe,,EST,Estonia,,BTSX,Both sexes,,12.4 [12.1-12.8],12.4,12.1,12.8,,,
SA_0000001822,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) with 95%CI",http://apps.who.int/gho/data/node.wrapper.imr?x-id=465,PUBLISHED,Published,,2010,2010,,EUR,Europe,,CZE,Czechia,,FMLE,Female,,6.1 [5.9-6.2],6.1,5.9,6.2,,,
SA_0000001822,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) with 95%CI",http://apps.who.int/gho/data/node.wrapper.imr?x-id=465,PUBLISHED,Published,,2016,2016,,EUR,Europe,,ISR,Israel,,MLE,Male,,6.4 [6.1-6.7],6.4,6.1,6.7,,,
SA_0000001822,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) with 95%CI",http://apps.who.int/gho/data/node.wrapper.imr?x-id=465,PUBLISHED,Published,,2016,2016,,EUR,Europe,,ITA,Italy,,FMLE,Female,,2.8 [2.8-2.9],2.8,2.8,2.9,,,
SA_0000001822,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) with 95%CI",http://apps.who.int/gho/data/node.wrapper.imr?x-id=465,PUBLISHED,Published,,2010,2010,,EUR,Europe,,KAZ,Kazakhstan,,BTSX,Both sexes,,9.3 [8.9-9.7],9.3,8.9,9.7,,,
SA_0000001822,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) with 95%CI",http://apps.who.int/gho/data/node.wrapper.imr?x-id=465,PUBLISHED,Published,,2016,2016,,EUR,Europe,,GEO,Georgia,,MLE,Male,,17.7 [17-18.4],17.7,17,18.4,,,
SA_0000001822,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) with 95%CI",http://apps.who.int/gho/data/node.wrapper.imr?x-id=465,PUBLISHED,Published,,2010,2010,,EUR,Europe,,DEU,Germany,,FMLE,Female,,5.7 [5.6-5.9],5.7,5.6,5.9,,,
SA_0000001822,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) with 95%CI",http://apps.who.int/gho/data/node.wrapper.imr?x-id=465,PUBLISHED,Published,,2010,2010,,EUR,Europe,,GRC,Greece,,MLE,Male,,16.9 [16.3-17.5],16.9,16.3,17.5,,,
SA_0000001822,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) with 95%CI",http://apps.who.int/gho/data/node.wrapper.imr?x-id=465,PUBLISHED,Published,,2016,2016,,EUR,Europe,,GRC,Greece,,FMLE,Female,,4.1 [3.9-4.3],4.1,3.9,4.3,,,
SA_0000001822,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) with 95%CI",http://apps.who.int/gho/data/node.wrapper.imr?x-id=465,PUBLISHED,Published,,2016,2016,,EUR,Europe,,ISR,Israel,,BTSX,Both sexes,,3.8 [3.7-4],3.8,3.7,4,,,
SA_0000001822,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) with 95%CI",http://apps.who.int/gho/data/node.wrapper.imr?x-id=465,PUBLISHED,Published,,2010,2010,,EMR,Eastern Mediterranean,,MAR,Morocco,,FMLE,Female,,0.2 [0.2-0.2],0.2,0.2,0.2,,,
SA_0000001822,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) with 95%CI",http://apps.who.int/gho/data/node.wrapper.imr?x-id=465,PUBLISHED,Published,,2016,2016,,EMR,Eastern Mediterranean,,MAR,Morocco,,BTSX,Both sexes,,0.6 [0.6-0.7],0.6,0.6,0.7,,,
SA_0000001822,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) with 95%CI",http://apps.who.int/gho/data/node.wrapper.imr?x-id=465,PUBLISHED,Published,,2010,2010,,EMR,Eastern Mediterranean,,OMN,Oman,,MLE,Male,,1.1 [1-1.1],1.1,1,1.1,,,
SA_0000001822,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) with 95%CI",http://apps.who.int/gho/data/node.wrapper.imr?x-id=465,PUBLISHED,Published,,2016,2016,,EMR,Eastern Mediterranean,,OMN,Oman,,FMLE,Female,,0.1 [0.1-0.1],0.1,0.1,0.1,,,
SA_0000001822,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) with 95%CI",http://apps.who.int/gho/data/node.wrapper.imr?x-id=465,PUBLISHED,Published,,2016,2016,,EMR,Eastern Mediterranean,,SOM,Somalia,,BTSX,Both sexes,,0 [0-0],0,0,0,,,
SA_0000001822,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) with 95%CI",http://apps.who.int/gho/data/node.wrapper.imr?x-id=465,PUBLISHED,Published,,2016,2016,,EMR,Eastern Mediterranean,,SOM,Somalia,,MLE,Male,,0 [0-0],0,0,0,,,
SA_0000001822,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) with 95%CI",http://apps.who.int/gho/data/node.wrapper.imr?x-id=465,PUBLISHED,Published,,2010,2010,,EMR,Eastern Mediterranean,,SYR,Syrian Arab Republic,,BTSX,Both sexes,,0.9 [0.9-1],0.9,0.9,1,,,
SA_0000001822,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) with 95%CI",http://apps.who.int/gho/data/node.wrapper.imr?x-id=465,PUBLISHED,Published,,2010,2010,,EMR,Eastern Mediterranean,,SYR,Syrian Arab Republic,,MLE,Male,,1.7 [1.6-1.8],1.7,1.6,1.8,,,
SA_0000001822,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) with 95%CI",http://apps.who.int/gho/data/node.wrapper.imr?x-id=465,PUBLISHED,Published,,2010,2010,,EUR,Europe,,KAZ,Kazakhstan,,MLE,Male,,16.1 [15.4-16.8],16.1,15.4,16.8,,,
SA_0000001822,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) with 95%CI",http://apps.who.int/gho/data/node.wrapper.imr?x-id=465,PUBLISHED,Published,,2010,2010,,EUR,Europe,,LUX,Luxembourg,,FMLE,Female,,6.2 [6-6.3],6.2,6,6.3,,,
SA_0000001822,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) with 95%CI",http://apps.who.int/gho/data/node.wrapper.imr?x-id=465,PUBLISHED,Published,,2016,2016,,EUR,Europe,,LUX,Luxembourg,,BTSX,Both sexes,,13 [12.6-13.3],13,12.6,13.3,,,
SA_0000001822,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) with 95%CI",http://apps.who.int/gho/data/node.wrapper.imr?x-id=465,PUBLISHED,Published,,2010,2010,,EUR,Europe,,MLT,Malta,,MLE,Male,,11.3 [11-11.6],11.3,11,11.6,,,
