Country,Population Total
Late-demographic dividend,2262158994.0
Lithuania,2868231.0
Luxembourg,582014.0
Latvia,1959537.0
"Macao SAR, China",612836.0
St. Martin (French part),36065.0
Morocco,35126296.0
Monaco,38070.0
Moldova,3551954.0
Madagascar,24894380.0
Maldives,475513.0
Middle East & North Africa,433597626.0
Mexico,123333376.0
Marshall Islands,57735.0
Middle income,5557635482.0
North Macedonia,2080745.0
Mali,17965429.0
Malta,455356.0
Myanmar,53045226.0
Middle East & North Africa (excluding high income),370276461.0
Montenegro,622303.0
Mongolia,3056359.0
Northern Mariana Islands,56188.0
Mozambique,27829942.0
Mauritania,4163534.0
Mauritius,1263473.0
Malawi,17205289.0
Malaysia,30684804.0
North America,359245384.0
Namibia,2358041.0
New Caledonia,276550.0
Niger,20788838.0
Nigeria,185960289.0
Nicaragua,6303974.0
Netherlands,17030314.0
Norway,5234519.0
Nepal,27261131.0
Nauru,13049.0
New Zealand,4693200.0
OECD members,1288747101.0
Oman,4479219.0
Other small states,29542879.0
Pakistan,203627284.0
Panama,4037078.0
Peru,30926032.0
Philippines,103663927.0
Palau,17725.0
Papua New Guinea,8271760.0
Poland,37970087.0
Pre-demographic dividend,869943914.0
Puerto Rico,3406495.0
"Korea, Dem. People’s Rep.",25307744.0
Portugal,10325452.0
Paraguay,6777872.0
West Bank and Gaza,4367088.0
Pacific island small states,2388307.0
Post-demographic dividend,1101992071.0
French Polynesia,274575.0
Qatar,2654374.0
Romania,19702332.0
Russian Federation,144342396.0
Rwanda,11668818.0
South Asia,1771167194.0
Saudi Arabia,32442572.0
Sudan,39847440.0
Senegal,14993528.0
Singapore,5607283.0
Solomon Islands,619437.0
Sierra Leone,7328838.0
El Salvador,6356143.0
San Marino,33504.0
Somalia,14185613.0
Serbia,7058322.0
Sub-Saharan Africa (excluding high income),1022431864.0
South Sudan,10832512.0
Sub-Saharan Africa,1022526541.0
Small states,39200572.0
Sao Tome and Principe,203227.0
Suriname,564888.0
Slovak Republic,5430798.0
Slovenia,2065042.0
Sweden,9923085.0
Eswatini,1113984.0
Sint Maarten (Dutch part),39969.0
Seychelles,94677.0
Syrian Arab Republic,17453933.0
Turks and Caicos Islands,36559.0
Chad,14561666.0
East Asia & Pacific (IDA & IBRD countries),2027771091.0
Europe & Central Asia (IDA & IBRD countries),455505650.0
Togo,7509952.0
Thailand,68971331.0
Tajikistan,8663579.0
Turkmenistan,5662372.0
Latin America & the Caribbean (IDA & IBRD countries),613258172.0
Timor-Leste,1219288.0
Middle East & North Africa (IDA & IBRD countries),365909373.0
Tonga,101133.0
South Asia (IDA & IBRD),1771167194.0
Sub-Saharan Africa (IDA & IBRD countries),1022526541.0
Trinidad and Tobago,1377564.0
Tunisia,11303946.0
Turkey,79821724.0
Tuvalu,11225.0
Tanzania,53050790.0
Uganda,39647506.0
Ukraine,45004645.0
Upper middle income,2617804661.0
Uruguay,3424132.0
United States,323071342.0
Uzbekistan,31847900.0
St. Vincent and the Grenadines,109459.0
"Venezuela, RB",29846179.0
British Virgin Islands,29355.0
Virgin Islands (U.S.),107510.0
Vietnam,93638724.0
Vanuatu,278330.0
World,7426103221.0
Samoa,194535.0
Kosovo,1816200.0
"Yemen, Rep.",27168210.0
South Africa,56203654.0
Zambia,16363507.0
Zimbabwe,14030390.0
