Country Name,Country Code,"GDP, PPP (current international $)"
"Micronesia, Fed. Sts.",FSM,371425127.5
Gabon,GAB,35820248114
United Kingdom,GBR,2.81912E+12
Georgia,GEO,37250877581
Ghana,GHA,1.17791E+11
Gibraltar,GIB,
Guinea,GIN,25440105141
"Gambia, The",GMB,3349853438
Guinea-Bissau,GNB,2938237476
Equatorial Guinea,GNQ,31876738090
Greece,GRC,2.93903E+11
Grenada,GRD,1526469103
Greenland,GRL,
Guatemala,GTM,1.31924E+11
Guam,GUM,
Guyana,GUY,6066709212
High income,HIC,5.62979E+13
"Hong Kong SAR, China",HKG,4.31064E+11
Honduras,HND,43416307561
Heavily indebted poor countries (HIPC),HPC,1.71321E+12
Croatia,HRV,1.02374E+11
Haiti,HTI,19372753030
Hungary,HUN,2.63522E+11
IBRD only,IBD,6.10544E+13
IDA & IBRD total,IBT,6.67553E+13
IDA total,IDA,5.76774E+12
IDA blend,IDB,2.73673E+12
Indonesia,IDN,3.03521E+12
IDA only,IDX,3.01493E+12
Isle of Man,IMN,
India,IND,8.78792E+12
Not classified,INX,
Ireland,IRL,3.37276E+11
"Iran, Islamic Rep.",IRN,1.60324E+12
Iraq,IRQ,6.52709E+11
Iceland,ISL,17638152067
Israel,ISR,3.20589E+11
Italy,ITA,2.36721E+12
Jamaica,JAM,25464389345
Jordan,JOR,85802416871
Japan,JPN,5.22177E+12
Kazakhstan,KAZ,4.50454E+11
Kenya,KEN,1.53131E+11
Kyrgyz Republic,KGZ,21690517215
Cambodia,KHM,59012585012
Kiribati,KIR,248773766.3
St. Kitts and Nevis,KNA,1537321198
"Korea, Rep.",KOR,1.90341E+12
Kuwait,KWT,2.99493E+11
Latin America & Caribbean (excluding high income),LAC,9.05517E+12
Lao PDR,LAO,44314739460
Lebanon,LBN,85188045150
Liberia,LBR,5824698888
Libya,LBY,97152136717
St. Lucia,LCA,2324287360
Latin America & Caribbean,LCN,9.86407E+12
Least developed countries: UN classification,LDC,2.61473E+12
Low income,LIC,1.38687E+12
Liechtenstein,LIE,
Sri Lanka,LKA,2.62055E+11
Lower middle income,LMC,1.97756E+13
Low & middle income,LMY,6.52532E+13
Lesotho,LSO,6576430280
Late-demographic dividend,LTE,3.77511E+13
Lithuania,LTU,86907455410
Luxembourg,LUX,61159237905
Latvia,LVA,50634421573
"Macao SAR, China",MAC,64610842539
St. Martin (French part),MAF,
Morocco,MAR,2.81433E+11
Monaco,MCO,
Moldova,MDA,22819071050
Madagascar,MDG,37539288199
Maldives,MDV,6683781321
Middle East & North Africa,MEA,8.5569E+12
Mexico,MEX,2.31643E+12
Marshall Islands,MHL,213723422.7
Middle income,MIC,6.39079E+13
North Macedonia,MKD,30822841608
Mali,MLI,38294923472
Malta,MLT,17457901035
Myanmar,MMR,3.02881E+11
Middle East & North Africa (excluding high income),MNA,4.93057E+12
Montenegro,MNE,11118384865
Mongolia,MNG,37106787271
Northern Mariana Islands,MNP,
Mozambique,MOZ,35090043503
Mauritania,MRT,16588414158
Mauritius,MUS,26724030480
Malawi,MWI,21169672700
Malaysia,MYS,8.64868E+11
North America,NAC,2.03363E+13
Namibia,NAM,26411068149
New Caledonia,NCL,
Niger,NER,20470418145
Nigeria,NGA,1.094E+12
Nicaragua,NIC,34042833260
Netherlands,NLD,8.74312E+11
Norway,NOR,3.04327E+11
Nepal,NPL,72023121031
Nauru,NRU,182453748.3
New Zealand,NZL,1.8361E+11
OECD members,OED,5.45973E+13
Oman,OMN,1.89809E+11
Other small states,OSS,7.6389E+11
Pakistan,PAK,1.01318E+12
Panama,PAN,93643298813
Peru,PER,4.14539E+11
Philippines,PHL,8.06934E+11
Palau,PLW,328471540.4
Papua New Guinea,PNG,34814036331
Poland,POL,1.05311E+12
Pre-demographic dividend,PRE,3.36499E+12
Puerto Rico,PRI,1.30752E+11
"Korea, Dem. People’s Rep.",PRK,
Portugal,PRT,3.20523E+11
Paraguay,PRY,83286395428
West Bank and Gaza,PSE,21692146591
Pacific island small states,PSS,13941517982
Post-demographic dividend,PST,4.97062E+13
French Polynesia,PYF,
Qatar,QAT,3.28011E+11
Romania,ROU,4.70258E+11
Russian Federation,RUS,3.53079E+12
Rwanda,RWA,23084077091
South Asia,SAS,1.08001E+13
Saudi Arabia,SAU,1.75708E+12
Sudan,SDN,1.87437E+11
Senegal,SEN,50251358109
Singapore,SGP,5.12797E+11
Solomon Islands,SLB,1410334229
Sierra Leone,SLE,10890981977
El Salvador,SLV,48853482644
San Marino,SMR,2052148940
Somalia,SOM,
Serbia,SRB,1.10218E+11
Sub-Saharan Africa (excluding high income),SSA,3.88537E+12
South Sudan,SSD,19625017092
Sub-Saharan Africa,SSF,3.88799E+12
Small states,SST,8.90731E+11
Sao Tome and Principe,STP,648142078.2
Suriname,SUR,8259820883
Slovak Republic,SVK,1.6779E+11
Slovenia,SVN,68526348293
Sweden,SWE,4.87065E+11
Eswatini,SWZ,11404814905
Sint Maarten (Dutch part),SXM,1381663765
Seychelles,SYC,2619951064
Syrian Arab Republic,SYR,
Turks and Caicos Islands,TCA,833881767.2
Chad,TCD,29309973474
East Asia & Pacific (IDA & IBRD countries),TEA,2.83625E+13
Europe & Central Asia (IDA & IBRD countries),TEC,9.20879E+12
Togo,TGO,12171402346
Thailand,THA,1.16984E+12
Tajikistan,TJK,26047146785
Turkmenistan,TKM,95668470994
Latin America & the Caribbean (IDA & IBRD countries),TLA,9.55997E+12
Timor-Leste,TLS,9960055057
Middle East & North Africa (IDA & IBRD countries),TMN,4.9094E+12
Tonga,TON,616128365.3
South Asia (IDA & IBRD),TSA,1.08001E+13
Sub-Saharan Africa (IDA & IBRD countries),TSS,3.88799E+12
Trinidad and Tobago,TTO,43515095891
Tunisia,TUN,1.32748E+11
Turkey,TUR,2.08737E+12
Tuvalu,TUV,41843559.78
Tanzania,TZA,1.50708E+11
Uganda,UGA,75659346318
Ukraine,UKR,3.53743E+11
Upper middle income,UMC,4.40992E+13
Uruguay,URY,74715447126
United States,USA,1.87072E+13
Uzbekistan,UZB,2.02174E+11
St. Vincent and the Grenadines,VCT,1258448520
"Venezuela, RB",VEN,
British Virgin Islands,VGB,
Virgin Islands (U.S.),VIR,
Vietnam,VNM,5.96038E+11
Vanuatu,VUT,833927748
World,WLD,1.21368E+14
Samoa,WSM,1246452120
Kosovo,XKX,18546149720
"Yemen, Rep.",YEM,76823303515
South Africa,ZAF,7.43073E+11
Zambia,ZMB,65421373556
Zimbabwe,ZWE,37705065648
