Country,Region,Continent
Ghana,Western Africa,Africa
Guinea,Western Africa,Africa
Guinea-Bissau,Western Africa,Africa
Kenya,Eastern Africa,Africa
Lesotho,Southern Africa,Africa
Liberia,Western Africa,Africa
Libya,Northern Africa,Africa
Madagascar,Eastern Africa,Africa
Malawi,Eastern Africa,Africa
Mali,Western Africa,Africa
Mauritania,Western Africa,Africa
Mauritius,Eastern Africa,Africa
Mayotte,Eastern Africa,Africa
Morocco,Northern Africa,Africa
Mozambique,Eastern Africa,Africa
Namibia,Southern Africa,Africa
Niger,Western Africa,Africa
Nigeria,Western Africa,Africa
Rwanda,Eastern Africa,Africa
Reunion,Eastern Africa,Africa
Saint Helena,Western Africa,Africa
Sao Tome and Principe,Middle Africa,Africa
Senegal,Western Africa,Africa
Seychelles,Eastern Africa,Africa
Sierra Leone,Western Africa,Africa
Somalia,Eastern Africa,Africa
South Africa,Southern Africa,Africa
South Sudan,Eastern Africa,Africa
Sudan,Northern Africa,Africa
Swaziland,Southern Africa,Africa
Togo,Western Africa,Africa
Tunisia,Northern Africa,Africa
Uganda,Eastern Africa,Africa
United Republic of Tanzania,Eastern Africa,Africa
Western Sahara,Northern Africa,Africa
Zambia,Eastern Africa,Africa
Zimbabwe,Eastern Africa,Africa
North Cyprus,Western Asia,Asia
Palestinian Territories,Western Asia,Asia
Somaliland Region,Eastern Africa,Africa
Taiwan,Eastern Asia,Asia
Kosovo,Southern Europe,Europe
